"CRN","Course","*Campus","Days","Date","Time","Location","Hrs","Type","Title","Instructor","Seats","Limit","Enroll","Waitlist","Course Fees","Catalog","Float"
"10855","GEOP 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Susan L. Bilek","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5091",""
"10856","GEOP 5091-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","John Naliboff","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5091",""
"10857","GEOP 5091-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Alex J. Rinehart","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5091",""
"10858","GEOP 5091-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Glenn A. Spinelli","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5091",""
"10859","GEOP 5091-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Jolante W. Van Wijk","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5091",""
"10860","GEOP 5095-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Robert Balch","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5095",""
"10861","GEOP 5095-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Susan L. Bilek","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5095",""
"10862","GEOP 5095-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","John Naliboff","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5095",""
"10863","GEOP 5095-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Alex J. Rinehart","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5095",""
"10864","GEOP 5095-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Glenn A. Spinelli","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5095",""
"10865","GEOP 5095-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Jolante W. Van Wijk","10","10","0","0","N/A","https://catalog.nmt.edu/courses/GEOP5095",""
"11002","IT 122-01D","DE","MTWR","06/05/2023-07/28/2023","1600-1715","WEB-V","3","CLAS","Data Structure and Algorithms","Amy E. Knowles","5","5","0","0","N/A","https://catalog.nmt.edu/courses/IT122",""
"10921","MTLS 5000-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Thomas D. Burleigh","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10922","MTLS 5000-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Paul Fuierer","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10923","MTLS 5000-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Chelsey Z. Hargather","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10924","MTLS 5000-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Nikolai Kalugin","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10925","MTLS 5000-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Bhaskar Majumdar","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10926","MTLS 5000-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","John McCoy","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10927","MTLS 5000-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Corey A. Leclerc","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10928","MTLS 5000-08","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Michaelann S. Tartis","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10929","MTLS 5000-09","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Pabitra Choudhury","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10930","MTLS 5000-10","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Sanchari Chowdhury","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10931","MTLS 5000-11","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Youngmin Lee","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10932","MTLS 5000-12","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Deep Choudhuri","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10984","MTLS 5000-13","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Donglee Shin","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5000",""
"10933","MTLS 5091-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Thomas D. Burleigh","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10934","MTLS 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Pabitra Choudhury","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10935","MTLS 5091-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Sanchari Chowdhury","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10936","MTLS 5091-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Paul Fuierer","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10937","MTLS 5091-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Chelsey Z. Hargather","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10938","MTLS 5091-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Deep Choudhuri","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10939","MTLS 5091-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Nikolai Kalugin","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10940","MTLS 5091-08","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Bhaskar Majumdar","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10941","MTLS 5091-09","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","John McCoy","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10942","MTLS 5091-10","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Corey A. Leclerc","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10943","MTLS 5091-11","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Michaelann S. Tartis","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10944","MTLS 5091-12","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Donglee Shin","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5091",""
"10946","MTLS 5095-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Thomas D. Burleigh","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5095",""
"10947","MTLS 5095-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Pabitra Choudhury","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5095",""
"10948","MTLS 5095-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Sanchari Chowdhury","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5095",""
"10949","MTLS 5095-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Paul Fuierer","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5095",""
"10950","MTLS 5095-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Chelsey Z. Hargather","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5095",""
"10951","MTLS 5095-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Deep Choudhuri","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5095",""
"10952","MTLS 5095-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Nikolai Kalugin","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5095",""
"10953","MTLS 5095-08","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Bhaskar Majumdar","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5095",""
"10954","MTLS 5095-09","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","John McCoy","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5095",""
"10955","MTLS 5095-10","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Michaelann S. Tartis","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5095",""
"10956","MTLS 5095-11","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Donglee Shin","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5095",""
"10957","MTLS 5095-12","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Deep Choudhuri","5","5","0","0","N/A","https://catalog.nmt.edu/courses/MTLS5095",""
"10122","MATH 1230-01","M","MTWRF","06/05/2023-07/28/2023","1100-1150","","3","CLAS","Trigonometry","","30","30","0","0","$5","https://catalog.nmt.edu/courses/MATH1230",""
"10056","MATH 1230L-01","M","T R","06/05/2023-07/28/2023","1400-1525","","0","CLAS","Trigonometry Lab","","20","20","0","0","N/A","https://catalog.nmt.edu/courses/MATH1230",""
"10123","MATH 1240-01","M","MTWRF","06/05/2023-07/28/2023","0900-0950","","3","CLAS","Pre-Calculus","","30","30","0","0","$5","https://catalog.nmt.edu/courses/MATH1240",""
"10055","MATH 1240L-01","M","T R","06/05/2023-07/28/2023","1530-1655","","0","CLAS","Pre-Calculus Lab","","20","20","0","0","N/A","https://catalog.nmt.edu/courses/MATH1240",""
"10057","MATH 1510-01","M","MTWRF","06/05/2023-07/28/2023","1100-1150","","4","CLAS","Calculus I","","37","40","3","0","N/A","https://catalog.nmt.edu/courses/MATH1510",""
"10058","MATH 1510L-01","M","M W","06/05/2023-07/28/2023","1630-1755","","0","CLAS","Calculus I Lab","","22","25","3","0","N/A","https://catalog.nmt.edu/courses/MATH1510",""
"10059","MATH 1520-01","M","MTWRF","06/05/2023-07/28/2023","1200-1315","","4","CLAS","Calculus II","","38","40","2","0","N/A","https://catalog.nmt.edu/courses/MATH1520",""
"10562","MATH 3035- 01","M","MTWRF","06/05/2023-07/28/2023","1100-1150","","3","CLAS","Ordinary Differential Equation","","36","40","4","0","N/A","https://catalog.nmt.edu/courses/MATH3035",""
"10987","MATH 3052-01","M","MTWRF","06/05/2023-07/28/2023","0900-0956","","3","CLAS","Basic Concepts of Math","","38","40","2","0","N/A","https://catalog.nmt.edu/courses/MATH3052",""
"10564","MATH 5000-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Rakhim Aitbayev","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5000",""
"10589","MATH 5000-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Ivan Avramidi","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5000",""
"10590","MATH 5000-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Brian Borchers","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5000",""
"10592","MATH 5000-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Gilberto C. Gonzalez Parra","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5000",""
"10598","MATH 5000-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Anwar Hossain","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5000",""
"10607","MATH 5000-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Gilbert Kerr","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5000",""
"10608","MATH 5000-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Oleg Makhnin","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5000",""
"10609","MATH 5000-08","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Saulo I. Orizaga","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5000",""
"10610","MATH 5000-09","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","William Stone","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5000",""
"10612","MATH 5000-10","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Bixiang Wang","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5000",""
"10613","MATH 5000-11","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Mingji Zhang","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5000",""
"10614","MATH 5090-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Rakhim Aitbayev","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5090",""
"10615","MATH 5090-02","M","F","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Ivan Avramidi","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5090",""
"10617","MATH 5090-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Brian Borchers","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5090",""
"10627","MATH 5090-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Gilberto C. Gonzalez Parra","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5090",""
"10629","MATH 5090-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Anwar Hossain","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5090",""
"10633","MATH 5090-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Gilbert Kerr","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5090",""
"10634","MATH 5090-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Oleg Makhnin","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5090",""
"10635","MATH 5090-08","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Saulo I. Orizaga","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5090",""
"10637","MATH 5090-09","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","William Stone","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5090",""
"10638","MATH 5090-10","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Bixiang Wang","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5090",""
"10640","MATH 5090-11","M","","06/05/2023-07/28/2023","","","1","CLAS","Independent Study","Mingji Zhang","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5090",""
"10643","MATH 5091-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Rakhim Aitbayev","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5091",""
"10646","MATH 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Ivan Avramidi","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5091",""
"10647","MATH 5091-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Brian Borchers","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5091",""
"10648","MATH 5091-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Gilberto C. Gonzalez Parra","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5091",""
"10649","MATH 5091-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Anwar Hossain","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5091",""
"10654","MATH 5091-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Gilbert Kerr","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5091",""
"10657","MATH 5091-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Oleg Makhnin","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5091",""
"10662","MATH 5091-08","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Saulo I. Orizaga","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5091",""
"10664","MATH 5091-09","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","William Stone","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5091",""
"10666","MATH 5091-10","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Bixiang Wang","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5091",""
"10668","MATH 5091-11","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Mingji Zhang","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5091",""
"10670","MATH 5095-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Rakhim Aitbayev","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5095",""
"10673","MATH 5095-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Ivan Avramidi","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5095",""
"10674","MATH 5095-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Brian Borchers","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5095",""
"10675","MATH 5095-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Gilberto C. Gonzalez Parra","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5095",""
"10676","MATH 5095-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Anwar Hossain","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5095",""
"10677","MATH 5095-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Gilbert Kerr","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5095",""
"10678","MATH 5095-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Oleg Makhnin","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5095",""
"10988","MATH 5095-08","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Saulo I. Orizaga","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5095",""
"10680","MATH 5095-09","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","William Stone","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5095",""
"10681","MATH 5095-10","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Bixiang Wang","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5095",""
"10682","MATH 5095-11","M","","06/05/2023-07/28/2023","","","1","CLAS","Dissertation","Mingji Zhang","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MATH5095",""
"10744","MENG 5000-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Sayavur Bakhtiyarov","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10745","MENG 5000-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Julie Ford","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10747","MENG 5000-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","David I. Grow","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10748","MENG 5000-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Ashok K. Ghosh","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10749","MENG 5000-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Michael J. Hargather","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10750","MENG 5000-06","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Mostafa Hassanalian","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10751","MENG 5000-07","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Jamie Kimberley","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10752","MENG 5000-08","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Kooktae Lee","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10753","MENG 5000-09","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Seok Bin Lim","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10755","MENG 5000-10","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Curtis J. OMalley","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10756","MENG 5000-11","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Donghyeon Ryu","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10757","MENG 5000-12","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Tie Wei","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10758","MENG 5000-13","M","","06/05/2023-07/28/2023","","","1","CLAS","Directed Research","Andrei N. Zagrai","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10760","MENG 5000-14","M","","","","","1","","Directed Research","","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5000",""
"10761","MENG 5091-01","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Sayavur Bakhtiyarov","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5091",""
"10763","MENG 5091-02","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Julie Ford","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5091",""
"10764","MENG 5091-03","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","David I. Grow","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5091",""
"10765","MENG 5091-04","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Ashok K. Ghosh","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5091",""
"10766","MENG 5091-05","M","","06/05/2023-07/28/2023","","","1","CLAS","Thesis","Michael J. Hargather","10","10","0","0","N/A","https://catalog.nmt.edu/courses/MENG5091",""
